LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
2489                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
2764                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
2963                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
3139                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
522                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
749                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
854                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
901                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
903                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182375              F 
1122                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182875              F 
1238                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182875              F 
1538                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182875              F 
2171                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182875              F 
3075                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182875              F 
893                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182875              F 
939                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529125              182875              F 
1025                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
1026                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
1224                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
1245                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
1341                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
1537                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
1704                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
2357                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
2361                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
26                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
2955                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
3112                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
3212                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
3227                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
38                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
53                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
612                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
667                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
733                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
829                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
889                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
98                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182625              F 
64                              2                   0.00100             14                  1.91                7.34                0                   0.011               0                   528875              182375              F 
129                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
1406                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
1415                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
